,Unnamed: 0,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
17,,18,Pascal Siakam,TOR,60,35.2,8.3,18.4,0.45299999999999996,2.2,6.1,0.359,4.0,5.0,0.792,2.5,2.8,1.1,6.2,7.3,3.5,1.0,0.9,22.9,88
19,,20,DeMar DeRozan,SAS,68,34.1,8.2,15.4,0.531,0.1,0.5,0.257,5.6,6.6,0.845,2.4,2.6,0.6,4.9,5.5,5.6,1.0,0.3,22.1,86
20,,21,Andrew Wiggins,GSW,54,34.4,8.1,18.1,0.447,2.1,6.2,0.332,3.5,5.0,0.7090000000000001,2.4,2.4,1.2,3.9,5.1,3.7,0.8,1.0,21.8,82
21,,22,Paul George,LAC,48,29.6,7.1,16.3,0.439,3.3,7.9,0.41200000000000003,4.0,4.5,0.8759999999999999,2.6,2.4,0.5,5.2,5.7,3.9,1.4,0.4,21.5,90
22,,23,De'Aaron Fox,SAC,51,32.0,7.7,16.0,0.48,1.1,3.6,0.292,4.7,6.7,0.705,3.1,2.8,0.7,3.2,3.8,6.8,1.5,0.5,21.1,85
23,,24,Khris Middleton,MIL,62,29.9,7.6,15.3,0.49700000000000005,2.4,5.7,0.415,3.4,3.7,0.9159999999999999,2.2,2.3,0.7,5.5,6.2,4.3,0.9,0.1,20.9,86
24,,25,Collin Sexton,CLE,65,33.0,7.9,16.7,0.47200000000000003,1.5,3.9,0.38,3.5,4.1,0.846,2.4,2.2,0.9,2.2,3.1,3.0,1.0,0.1,20.8,80
25,,26,Spencer Dinwiddie,BRK,64,31.2,6.6,16.0,0.415,1.9,6.2,0.307,5.4,7.0,0.778,2.7,2.8,0.5,3.0,3.5,6.8,0.6,0.3,20.6,83
26,,27,Kemba Walker,BOS,56,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.7,4.3,0.8640000000000001,2.1,1.6,0.6,3.2,3.9,4.8,0.9,0.5,20.4,86
27,,28,Kristaps Porzingis,DAL,57,31.8,7.0,16.4,0.42700000000000005,2.5,7.1,0.35200000000000004,4.0,5.0,0.799,1.6,3.2,1.8,7.7,9.5,1.8,0.7,2.0,20.4,87
28,,29,Jaylen Brown,BOS,57,33.9,7.5,15.6,0.48100000000000004,2.3,5.9,0.382,3.1,4.3,0.7240000000000001,2.2,2.9,1.1,5.3,6.4,2.1,1.1,0.4,20.3,84
29,,30,Bojan Bogdanovic,UTA,63,33.1,6.6,14.8,0.447,3.0,7.3,0.414,4.0,4.4,0.903,2.5,1.7,0.6,3.5,4.1,2.1,0.5,0.1,20.2,81
30,,31,Jimmy Butler,MIA,58,33.8,5.9,13.1,0.455,0.5,2.1,0.244,7.6,9.1,0.8340000000000001,2.2,1.4,1.8,4.8,6.7,6.0,1.8,0.6,19.9,89
31,,32,Nikola Jokic,DEN,73,32.0,7.7,14.7,0.528,1.1,3.5,0.314,3.4,4.1,0.8170000000000001,3.1,3.0,2.3,7.5,9.7,7.0,1.2,0.6,19.9,90
33,,34,Tobias Harris,PHI,72,34.3,7.7,16.3,0.47100000000000003,1.8,5.0,0.36700000000000005,2.4,3.0,0.8059999999999999,1.4,2.3,1.0,5.9,6.9,3.2,0.7,0.6,19.6,84
34,,35,Nikola Vucevic,ORL,62,32.2,8.0,16.7,0.47700000000000004,1.6,4.7,0.33899999999999997,2.1,2.7,0.784,1.4,2.2,2.3,8.6,10.9,3.6,0.9,0.8,19.6,86
35,,36,Julius Randle,NYK,64,32.5,7.2,15.7,0.46,1.0,3.6,0.27699999999999997,4.0,5.5,0.733,3.0,2.8,2.4,7.4,9.7,3.1,0.8,0.3,19.5,80
36,,37,Kyle Lowry,TOR,58,36.2,5.8,13.8,0.41600000000000004,2.8,8.0,0.35200000000000004,5.1,5.9,0.857,3.1,3.3,0.6,4.5,5.0,7.5,1.4,0.4,19.4,87
37,,38,Buddy Hield,SAC,72,30.8,6.9,16.1,0.429,3.8,9.6,0.39399999999999996,1.6,1.9,0.846,2.3,2.3,0.8,3.8,4.6,3.0,0.9,0.2,19.2,81
38,,39,Jrue Holiday,NOP,61,34.7,7.5,16.5,0.455,2.0,5.7,0.353,2.1,3.0,0.7090000000000001,3.0,2.4,1.3,3.5,4.8,6.7,1.6,0.8,19.1,83
39,,40,Shai Gilgeous-Alexander,OKC,70,34.7,6.8,14.5,0.47100000000000003,1.2,3.6,0.34700000000000003,4.1,5.1,0.807,1.9,1.7,0.7,5.2,5.9,3.3,1.1,0.7,19.0,84
41,,42,LaMarcus Aldridge,SAS,53,33.1,7.4,15.0,0.493,1.2,3.0,0.389,3.0,3.6,0.8270000000000001,1.4,2.4,1.9,5.5,7.4,2.4,0.7,1.6,18.9,84
42,,43,Danilo Gallinari,OKC,62,29.6,5.8,13.2,0.43799999999999994,2.9,7.1,0.405,4.3,4.8,0.893,1.2,1.2,0.5,4.6,5.2,1.9,0.7,0.1,18.7,83
44,,45,Montrezl Harrell,LAC,63,27.8,7.5,12.9,0.58,0.0,0.3,0.0,3.7,5.6,0.6579999999999999,1.7,2.3,2.6,4.5,7.1,1.7,0.6,1.1,18.6,82
45,,46,Domantas Sabonis,IND,62,34.8,7.4,13.7,0.54,0.3,1.1,0.254,3.5,4.8,0.723,2.7,3.1,3.0,9.4,12.4,5.0,0.8,0.5,18.5,85
46,,47,Evan Fournier,ORL,66,31.4,6.6,14.1,0.467,2.6,6.6,0.39899999999999997,2.7,3.3,0.818,1.9,2.4,0.3,2.3,2.6,3.2,1.1,0.2,18.5,80
47,,48,Jamal Murray,DEN,59,32.3,6.9,15.2,0.456,1.9,5.5,0.34600000000000003,2.8,3.1,0.8809999999999999,2.2,1.7,0.8,3.2,4.0,4.8,1.1,0.3,18.5,85
50,,51,Derrick Rose,DET,50,26.0,7.4,15.1,0.49,0.9,2.9,0.306,2.4,2.8,0.871,2.5,1.0,0.5,1.9,2.4,5.6,0.8,0.3,18.1,81
51,,52,Terry Rozier,CHA,63,34.4,6.3,14.9,0.423,2.7,6.7,0.40700000000000003,2.6,3.0,0.8740000000000001,2.2,2.0,0.8,3.6,4.4,4.1,1.0,0.2,18.0,79
52,,53,Ja Morant,MEM,67,31.0,6.7,14.0,0.47700000000000004,0.9,2.7,0.335,3.6,4.6,0.7759999999999999,3.3,1.6,0.8,3.1,3.9,7.3,0.9,0.3,17.8,85
53,,54,Andre Drummond,CLE,57,33.0,7.3,13.8,0.5329999999999999,0.1,0.6,0.14300000000000002,3.0,5.2,0.575,3.6,3.5,4.4,10.8,15.2,2.7,1.9,1.6,17.7,85
54,,55,Fred VanVleet,TOR,54,35.7,5.9,14.3,0.413,2.7,6.9,0.39,3.1,3.7,0.848,2.2,2.4,0.3,3.4,3.8,6.6,1.9,0.3,17.6,85
55,,56,Kevin Love,CLE,56,31.8,5.8,13.0,0.45,2.6,7.0,0.374,3.3,3.9,0.8540000000000001,2.5,1.6,1.0,8.8,9.8,3.2,0.6,0.3,17.6,82
56,,57,Chris Paul,OKC,70,31.5,6.2,12.7,0.489,1.6,4.3,0.365,3.6,4.0,0.907,2.3,2.3,0.4,4.6,5.0,6.7,1.6,0.2,17.6,88
57,,58,Gordon Hayward,BOS,52,33.5,6.7,13.5,0.5,1.6,4.3,0.38299999999999995,2.4,2.8,0.855,1.8,1.8,1.1,5.6,6.7,4.1,0.7,0.4,17.5,83
59,,60,Marcus Morris,LAC,62,31.2,5.7,13.1,0.43799999999999994,2.3,5.6,0.408,2.9,3.5,0.823,1.6,2.9,1.0,4.1,5.0,1.4,0.8,0.5,16.7,78
60,,61,Malcolm Brogdon,IND,54,30.9,6.0,13.8,0.43799999999999994,1.4,4.3,0.326,3.1,3.4,0.892,2.4,1.8,0.9,4.0,4.9,7.1,0.6,0.2,16.5,83
61,,62,Ben Simmons,PHI,57,35.4,6.6,11.4,0.58,0.0,0.1,0.28600000000000003,3.2,5.2,0.621,3.5,3.3,2.0,5.8,7.8,8.0,2.1,0.6,16.4,87
62,,63,Dillon Brooks,MEM,73,28.9,6.0,14.6,0.40700000000000003,2.0,5.6,0.358,2.2,2.8,0.8079999999999999,1.7,3.8,0.9,2.4,3.3,2.1,0.9,0.4,16.2,77
63,,64,Goran Dragic,MIA,59,28.2,5.4,12.3,0.441,2.1,5.7,0.36700000000000005,3.2,4.2,0.7759999999999999,2.4,2.1,0.5,2.7,3.2,5.1,0.7,0.2,16.2,79
64,,65,Norman Powell,TOR,52,28.4,5.7,11.5,0.495,2.1,5.2,0.39899999999999997,2.5,2.9,0.843,1.5,2.1,0.5,3.2,3.7,1.8,1.2,0.4,16.0,77
65,,66,Bam Adebayo,MIA,72,33.6,6.1,11.0,0.557,0.0,0.2,0.14300000000000002,3.7,5.3,0.691,2.8,2.5,2.4,7.8,10.2,5.1,1.1,1.3,15.9,86
67,,68,Luke Kennard,DET,28,32.9,5.4,12.2,0.442,2.6,6.5,0.39899999999999997,2.4,2.7,0.893,1.5,2.3,0.3,3.2,3.5,4.1,0.4,0.2,15.8,78
68,,69,Hassan Whiteside,POR,67,30.0,6.5,10.5,0.621,0.1,0.1,0.5710000000000001,2.4,3.6,0.6859999999999999,1.8,2.9,3.9,9.7,13.5,1.2,0.4,2.9,15.5,83
69,,70,Davis Bertans,WAS,54,29.3,4.9,11.3,0.434,3.7,8.7,0.424,1.9,2.3,0.852,1.1,2.6,0.6,3.9,4.5,1.7,0.7,0.6,15.4,79
70,,71,Carmelo Anthony,POR,58,32.8,5.8,13.5,0.43,1.5,3.9,0.385,2.3,2.8,0.845,1.7,2.9,1.2,5.1,6.3,1.5,0.8,0.5,15.4,78
71,,72,Serge Ibaka,TOR,55,27.0,6.2,12.2,0.512,1.3,3.3,0.385,1.6,2.3,0.718,2.0,2.8,2.1,6.1,8.2,1.4,0.5,0.8,15.4,80
72,,73,Kendrick Nunn,MIA,67,29.3,6.0,13.6,0.439,2.0,5.8,0.35,1.3,1.5,0.85,1.7,2.3,0.3,2.4,2.7,3.3,0.8,0.2,15.3,76
74,,75,Jordan Clarkson,UTA,71,24.0,5.5,12.2,0.45399999999999996,2.1,5.8,0.368,1.9,2.3,0.836,1.4,1.5,0.7,1.9,2.6,1.9,0.6,0.2,15.2,78
75,,76,Bogdan Bogdanovic,SAC,61,28.9,5.5,12.6,0.44,2.7,7.2,0.37200000000000005,1.4,1.9,0.741,1.7,2.2,0.4,3.0,3.4,3.4,1.0,0.2,15.1,79
76,,77,Rudy Gobert,UTA,68,34.3,5.7,8.2,0.693,0.0,0.0,0.0,3.7,5.9,0.63,1.9,3.2,3.4,10.1,13.5,1.5,0.8,2.0,15.1,87
77,,78,Will Barton,DEN,58,33.0,5.7,12.7,0.45,1.9,5.0,0.375,1.8,2.3,0.767,1.5,2.1,1.3,5.0,6.3,3.7,1.1,0.5,15.1,79
78,,79,Alec Burks,PHI,66,26.6,4.9,11.6,0.418,1.8,4.6,0.385,3.6,4.0,0.887,1.4,1.9,0.7,3.5,4.3,2.9,0.9,0.3,15.0,77
79,,80,Eric Bledsoe,MIL,61,27.0,5.5,11.5,0.475,1.2,3.5,0.344,2.8,3.5,0.79,2.4,2.1,0.7,3.9,4.6,5.4,0.9,0.4,14.9,83
80,,81,Jonas Valanciunas,MEM,70,26.4,6.2,10.6,0.585,0.5,1.3,0.35200000000000004,2.1,2.9,0.74,1.8,2.6,3.0,8.2,11.3,1.9,0.4,1.1,14.9,81
81,,82,Lauri Markkanen,CHI,50,29.8,5.0,11.8,0.425,2.2,6.3,0.344,2.5,3.1,0.8240000000000001,1.6,1.9,1.2,5.1,6.3,1.5,0.8,0.5,14.7,80
82,,83,Terrence Ross,ORL,69,27.4,4.9,12.3,0.40299999999999997,2.6,7.3,0.35100000000000003,2.3,2.7,0.853,1.0,1.6,0.2,3.0,3.2,1.2,1.1,0.3,14.7,78
83,,84,Harrison Barnes,SAC,72,34.5,5.1,11.0,0.46,1.4,3.7,0.381,3.0,3.7,0.8009999999999999,1.2,1.3,1.1,3.9,4.9,2.2,0.6,0.2,14.5,78
84,,85,Joe Harris,BRK,69,30.8,5.5,11.4,0.486,2.5,5.9,0.424,0.9,1.3,0.7190000000000001,1.5,2.3,0.9,3.4,4.3,2.1,0.6,0.2,14.5,77
85,,86,Aaron Gordon,ORL,62,32.5,5.4,12.4,0.43700000000000006,1.2,3.8,0.308,2.4,3.6,0.674,1.6,2.0,1.7,5.9,7.7,3.7,0.8,0.6,14.4,80
86,,87,Mike Conley,UTA,47,29.0,4.9,12.1,0.409,2.0,5.4,0.375,2.4,3.0,0.8270000000000001,2.0,2.2,0.7,2.5,3.2,4.4,0.8,0.1,14.4,79
88,,89,Eric Paschall,GSW,60,27.6,5.3,10.7,0.49700000000000005,0.6,2.1,0.287,2.7,3.5,0.774,1.6,2.1,1.4,3.2,4.6,2.1,0.5,0.2,13.9,79
89,,90,Clint Capela,HOU,39,32.8,6.3,9.9,0.629,0.0,0.0,0.0,1.4,2.7,0.529,1.6,2.6,4.3,9.5,13.8,1.2,0.8,1.8,13.9,82
90,,91,Josh Richardson,PHI,55,30.8,5.1,11.7,0.43,1.5,4.5,0.341,2.1,2.6,0.809,1.9,2.5,0.7,2.4,3.2,2.9,0.9,0.7,13.7,80
91,,92,Tyler Herro,MIA,55,27.4,4.9,11.5,0.428,2.1,5.4,0.389,1.6,1.8,0.87,1.6,1.4,0.3,3.8,4.1,2.2,0.6,0.2,13.5,78
92,,93,Duncan Robinson,MIA,73,29.7,4.4,9.4,0.47,3.7,8.3,0.446,0.9,1.0,0.9309999999999999,1.0,2.6,0.1,3.0,3.2,1.4,0.5,0.3,13.5,78
93,,94,Coby White,CHI,65,25.8,4.8,12.2,0.39399999999999996,2.0,5.8,0.354,1.6,2.0,0.7909999999999999,1.7,1.8,0.4,3.1,3.5,2.7,0.8,0.1,13.2,77
94,,95,Christian Wood,DET,62,21.4,4.6,8.2,0.5670000000000001,0.9,2.3,0.386,2.9,3.9,0.7440000000000001,1.4,1.6,1.7,4.6,6.3,1.0,0.5,0.9,13.1,80
95,,96,Ricky Rubio,PHX,65,31.0,4.4,10.6,0.415,1.2,3.3,0.361,3.0,3.5,0.863,2.7,2.6,0.7,4.0,4.7,8.8,1.4,0.2,13.0,79
96,,97,Miles Bridges,CHA,65,30.7,4.9,11.6,0.424,1.5,4.6,0.33,1.6,2.0,0.809,1.5,2.0,1.3,4.2,5.6,1.8,0.6,0.7,13.0,77
97,,98,Marcus Smart,BOS,60,32.0,4.3,11.4,0.375,2.3,6.6,0.34700000000000003,2.1,2.5,0.836,1.7,2.7,0.7,3.0,3.8,4.8,1.7,0.5,12.9,80
98,,99,Kyle Kuzma,LAL,61,25.0,4.8,11.0,0.436,1.4,4.5,0.316,1.9,2.5,0.735,1.5,2.1,0.9,3.6,4.5,1.3,0.5,0.4,12.8,76
99,,100,Damion Lee,GSW,49,29.0,4.3,10.4,0.41700000000000004,1.7,4.9,0.35600000000000004,2.2,2.6,0.873,1.4,2.4,0.7,4.2,4.9,2.7,1.0,0.1,12.7,74
100,,101,Jeremy Lamb,IND,46,28.1,4.7,10.4,0.451,1.2,3.4,0.335,2.0,2.4,0.836,1.1,2.3,0.5,3.8,4.3,2.1,1.2,0.5,12.5,77
101,,102,Robert Covington,HOU,70,30.5,4.4,10.3,0.42200000000000004,2.3,6.9,0.335,1.4,1.8,0.7979999999999999,1.5,3.1,0.9,5.7,6.6,1.3,1.6,1.3,12.4,79
102,,103,Seth Curry,DAL,64,24.6,4.4,9.0,0.495,2.3,5.0,0.452,1.2,1.5,0.825,1.0,1.8,0.4,1.8,2.3,1.9,0.6,0.1,12.4,78
103,,104,De'Andre Hunter,ATL,63,32.0,4.4,10.8,0.41,1.7,4.8,0.355,1.7,2.3,0.764,1.6,2.9,0.7,3.8,4.5,1.8,0.7,0.3,12.3,75
104,,105,Darius Garland,CLE,59,30.9,4.7,11.8,0.401,1.8,5.0,0.355,1.1,1.2,0.875,2.6,1.6,0.5,1.4,1.9,3.9,0.7,0.1,12.3,74
106,,107,Kevin Huerter,ATL,56,31.4,4.5,10.9,0.413,2.3,6.0,0.38,0.9,1.1,0.828,1.6,2.5,0.6,3.4,4.1,3.8,0.9,0.5,12.2,75
107,,108,Isaiah Thomas,WAS,40,23.1,4.3,10.7,0.408,1.9,4.7,0.413,1.6,1.9,0.816,1.9,1.9,0.3,1.4,1.7,3.6,0.3,0.1,12.2,77
108,,109,Markelle Fultz,ORL,72,27.7,5.0,10.7,0.465,0.5,1.9,0.267,1.6,2.2,0.73,2.0,2.0,0.6,2.7,3.3,5.1,1.2,0.2,12.1,77
109,,110,Myles Turner,IND,62,29.5,4.3,9.5,0.457,1.4,4.0,0.344,2.0,2.7,0.7509999999999999,1.4,2.7,1.4,5.2,6.6,1.2,0.7,2.1,12.1,79
110,,111,Taurean Prince,BRK,64,29.0,4.3,11.5,0.376,2.3,6.7,0.33899999999999997,1.1,1.4,0.7979999999999999,2.0,2.5,0.8,5.2,6.0,1.8,0.9,0.4,12.1,73
111,,112,Brandon Clarke,MEM,58,22.4,5.1,8.3,0.618,0.4,1.1,0.359,1.5,1.9,0.759,0.9,1.7,1.6,4.4,5.9,1.4,0.6,0.8,12.1,80
112,,113,Tristan Thompson,CLE,57,30.2,5.1,9.9,0.512,0.2,0.4,0.391,1.7,2.8,0.615,1.8,2.2,4.0,6.2,10.1,2.1,0.6,0.9,12.0,79
113,,114,Jerami Grant,DEN,71,26.6,4.3,8.9,0.478,1.4,3.5,0.389,2.1,2.8,0.75,0.9,2.2,0.8,2.7,3.5,1.2,0.7,0.8,12.0,77
114,,115,Brook Lopez,MIL,68,26.7,4.3,9.9,0.435,1.5,4.8,0.314,1.9,2.2,0.836,1.0,2.4,0.9,3.7,4.6,1.5,0.7,2.4,12.0,82
115,,116,Al Horford,PHI,67,30.2,4.8,10.6,0.45,1.5,4.2,0.35,0.9,1.2,0.762,1.2,2.1,1.5,5.3,6.8,4.0,0.8,0.9,11.9,80
116,,117,Lonzo Ball,NOP,63,32.1,4.4,10.9,0.40299999999999997,2.3,6.3,0.375,0.7,1.2,0.5660000000000001,3.1,2.0,1.1,5.0,6.1,7.0,1.4,0.6,11.8,77
119,,120,Paul Millsap,DEN,51,24.3,4.1,8.6,0.48200000000000004,1.1,2.4,0.435,2.3,2.8,0.816,1.4,2.9,1.9,3.8,5.7,1.6,0.9,0.6,11.6,79
120,,121,Nemanja Bjelica,SAC,72,27.9,4.4,9.1,0.48100000000000004,1.9,4.4,0.419,1.0,1.2,0.821,1.4,3.0,1.5,4.8,6.4,2.8,0.9,0.6,11.5,78
121,,122,Derrick White,SAS,68,24.7,3.7,8.1,0.45799999999999996,1.2,3.2,0.366,2.6,3.1,0.853,1.3,2.2,0.5,2.8,3.3,3.5,0.6,0.9,11.2,79
122,,123,Bryn Forbes,SAS,63,25.1,3.8,9.2,0.41700000000000004,2.3,6.0,0.38799999999999996,1.2,1.4,0.833,0.9,1.8,0.2,1.8,2.0,1.7,0.5,0.0,11.2,74
123,,124,Malik Beasley,MIN,55,22.0,4.1,9.7,0.425,1.9,5.0,0.38799999999999996,1.0,1.2,0.818,1.0,1.4,0.3,2.4,2.7,1.4,0.7,0.1,11.2,77
124,,125,Jarrett Allen,BRK,70,26.5,4.3,6.6,0.649,0.0,0.1,0.0,2.4,3.9,0.633,1.1,2.3,3.1,6.5,9.6,1.6,0.6,1.3,11.1,81
125,,126,Cody Zeller,CHA,58,23.1,4.3,8.3,0.524,0.3,1.3,0.24,2.1,3.1,0.682,1.3,2.4,2.8,4.3,7.1,1.5,0.7,0.4,11.1,78
126,,127,Cedi Osman,CLE,65,29.4,4.1,9.4,0.43700000000000006,1.9,4.9,0.38299999999999995,1.0,1.4,0.67,1.4,2.5,0.6,3.0,3.6,2.4,0.8,0.2,11.0,75
127,,128,Rodney Hood,POR,21,29.5,4.1,8.2,0.506,1.7,3.4,0.493,1.0,1.3,0.778,0.9,2.2,0.5,3.0,3.4,1.5,0.8,0.2,11.0,76
128,,129,Dejounte Murray,SAS,66,25.6,4.5,9.7,0.462,0.6,1.7,0.369,1.4,1.7,0.7979999999999999,1.9,2.2,1.0,4.8,5.8,4.1,1.7,0.3,10.9,80
130,,131,Jeff Teague,ATL,59,24.8,3.6,8.3,0.436,0.7,2.0,0.368,2.9,3.3,0.873,2.0,1.8,0.5,1.9,2.4,5.2,0.7,0.3,10.9,78
131,,132,Steven Adams,OKC,63,26.7,4.5,7.6,0.5920000000000001,0.0,0.0,0.33299999999999996,1.9,3.2,0.5820000000000001,1.5,1.9,3.3,6.0,9.3,2.3,0.8,1.1,10.9,82
132,,133,Rudy Gay,SAS,67,21.8,4.0,8.9,0.446,1.1,3.3,0.336,1.8,2.0,0.882,1.3,1.5,0.9,4.5,5.4,1.7,0.5,0.5,10.8,79
133,,134,Dario Saric,PHX,66,24.7,3.9,8.2,0.47600000000000003,1.3,3.6,0.35700000000000004,1.6,1.9,0.8440000000000001,1.3,2.4,1.5,4.6,6.2,1.9,0.6,0.2,10.7,76
135,,136,Jae Crowder,MIA,65,28.8,3.5,8.7,0.401,2.1,6.1,0.34299999999999997,1.5,1.9,0.7759999999999999,1.1,2.2,0.8,5.1,5.9,2.5,1.1,0.4,10.5,77
136,,137,Cam Reddish,ATL,58,26.7,3.7,9.6,0.384,1.4,4.3,0.332,1.7,2.2,0.802,1.7,2.3,0.6,3.1,3.7,1.5,1.1,0.5,10.5,73
138,,139,Danuel House,HOU,63,30.4,3.7,8.6,0.42700000000000005,2.0,5.6,0.363,1.2,1.4,0.8109999999999999,0.9,2.1,0.9,3.3,4.2,1.3,1.1,0.5,10.5,76
140,,141,Gary Harris,DEN,56,31.8,3.9,9.3,0.42,1.2,3.8,0.33299999999999996,1.3,1.6,0.815,1.1,2.1,0.5,2.4,2.9,2.1,1.4,0.2,10.4,76
141,,142,Garrett Temple,BRK,62,27.9,3.6,9.5,0.37799999999999995,2.0,6.2,0.32899999999999996,1.1,1.4,0.805,1.0,1.7,0.5,3.0,3.5,2.5,0.8,0.5,10.3,74
142,,143,Shabazz Napier,WAS,56,24.0,3.4,8.1,0.41200000000000003,1.4,4.3,0.317,2.2,2.7,0.8240000000000001,2.3,1.8,0.5,2.4,2.8,4.7,1.2,0.2,10.3,76
143,,144,Thaddeus Young,CHI,64,24.9,4.2,9.4,0.44799999999999995,1.2,3.5,0.35600000000000004,0.7,1.1,0.583,1.6,2.1,1.5,3.5,4.9,1.8,1.4,0.4,10.3,76
144,,145,Doug McDermott,IND,69,19.9,3.9,7.9,0.488,1.9,4.3,0.435,0.7,0.8,0.828,0.6,1.7,0.4,2.1,2.5,1.1,0.2,0.1,10.3,76
145,,146,Langston Galloway,DET,66,25.8,3.6,8.2,0.435,2.0,5.0,0.39899999999999997,1.1,1.3,0.8590000000000001,0.6,1.5,0.5,1.8,2.3,1.5,0.7,0.2,10.3,75
146,,147,Malik Monk,CHA,55,21.3,3.9,8.9,0.434,1.1,3.7,0.284,1.5,1.8,0.82,1.4,1.3,0.5,2.4,2.9,2.1,0.5,0.3,10.3,75
147,,148,Bobby Portis,NYK,66,21.1,4.0,8.9,0.45,1.0,2.8,0.358,1.1,1.4,0.763,1.1,1.7,1.2,3.9,5.1,1.5,0.5,0.3,10.1,77
148,,149,Josh Hart,NOP,65,27.0,3.5,8.2,0.423,1.9,5.4,0.342,1.3,1.8,0.7390000000000001,1.2,2.5,0.9,5.6,6.5,1.7,1.0,0.4,10.1,75
150,,151,Ben McLemore,HOU,71,22.8,3.4,7.7,0.444,2.5,6.4,0.4,0.7,0.9,0.746,0.7,2.2,0.3,1.9,2.2,0.8,0.6,0.2,10.1,74
152,,153,Tomas Satoransky,CHI,65,28.9,3.6,8.5,0.43,1.0,3.1,0.322,1.6,1.9,0.8759999999999999,2.0,2.1,1.2,2.7,3.9,5.4,1.2,0.1,9.9,76
153,,154,Joe Ingles,UTA,72,29.7,3.4,7.7,0.445,2.0,4.9,0.39899999999999997,1.0,1.3,0.787,2.0,2.1,0.4,3.5,3.9,5.2,0.9,0.2,9.8,78
