,Unnamed: 0,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
0,,1,James Harden,HOU,68,36.5,9.9,22.3,0.444,4.4,12.4,0.355,10.2,11.8,0.865,4.5,3.3,1.0,5.5,6.6,7.5,1.8,0.9,34.3,96
1,,2,Bradley Beal,WAS,57,36.0,10.4,22.9,0.455,3.0,8.4,0.353,6.8,8.0,0.8420000000000001,3.4,2.2,0.9,3.3,4.2,6.1,1.2,0.4,30.5,88
2,,3,Damian Lillard,POR,66,37.5,9.5,20.4,0.46299999999999997,4.1,10.2,0.401,7.0,7.8,0.888,2.9,1.7,0.5,3.8,4.3,8.0,1.1,0.3,30.0,94
3,,4,Trae Young,ATL,60,35.3,9.1,20.8,0.43700000000000006,3.4,9.5,0.361,8.0,9.3,0.86,4.8,1.7,0.5,3.7,4.2,9.3,1.1,0.1,29.6,88
4,,5,Giannis Antetokounmpo,MIL,63,30.4,10.9,19.7,0.5529999999999999,1.4,4.7,0.304,6.3,10.0,0.633,3.7,3.1,2.2,11.4,13.6,5.6,1.0,1.0,29.5,97
5,,6,Luka Doncic,DAL,61,33.6,9.5,20.6,0.46299999999999997,2.8,8.9,0.316,7.0,9.2,0.758,4.3,2.5,1.3,8.1,9.4,8.8,1.0,0.2,28.8,94
6,,7,Russell Westbrook,HOU,57,36.0,10.6,22.5,0.47200000000000003,1.0,3.7,0.258,5.1,6.7,0.763,4.5,3.5,1.8,6.2,7.9,7.0,1.6,0.4,27.2,88
7,,8,Kawhi Leonard,LAC,57,32.4,9.3,19.9,0.47,2.2,5.7,0.37799999999999995,6.2,7.1,0.8859999999999999,2.6,2.0,0.9,6.1,7.1,4.9,1.8,0.6,27.1,96
8,,9,Devin Booker,PHX,70,35.9,9.0,18.3,0.489,2.0,5.7,0.354,6.7,7.3,0.919,3.8,3.0,0.4,3.8,4.2,6.5,0.7,0.3,26.6,87
9,,10,Karl-Anthony Towns,MIN,35,33.9,9.0,17.8,0.508,3.3,7.9,0.41200000000000003,5.1,6.5,0.7959999999999999,3.1,3.3,2.7,8.1,10.8,4.4,0.9,1.2,26.5,90
10,,11,Anthony Davis,LAL,62,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.2,8.5,0.846,2.5,2.5,2.3,7.0,9.3,3.2,1.5,2.3,26.1,95
11,,12,Zach LaVine,CHI,60,34.8,9.0,20.0,0.45,3.1,8.1,0.38,4.5,5.6,0.802,3.4,2.2,0.7,4.1,4.8,4.2,1.5,0.5,25.5,85
12,,13,LeBron James,LAL,67,34.6,9.6,19.4,0.493,2.2,6.3,0.348,3.9,5.7,0.693,3.9,1.8,1.0,6.9,7.8,10.2,1.2,0.5,25.3,97
13,,14,Donovan Mitchell,UTA,69,34.3,8.7,19.4,0.449,2.5,6.9,0.366,4.0,4.7,0.863,2.7,2.5,0.8,3.6,4.4,4.3,1.0,0.2,24.0,88
14,,15,Brandon Ingram,NOP,62,33.9,8.2,17.7,0.46299999999999997,2.4,6.2,0.391,5.0,5.9,0.851,3.0,2.9,0.8,5.3,6.1,4.2,1.0,0.6,23.8,86
15,,16,Jayson Tatum,BOS,66,34.3,8.4,18.6,0.45,2.9,7.1,0.40299999999999997,3.8,4.7,0.812,2.3,2.1,1.0,6.0,7.0,3.0,1.4,0.9,23.4,87
16,,17,Joel Embiid,PHI,51,29.5,7.5,15.7,0.47700000000000004,1.1,3.4,0.331,6.9,8.5,0.807,3.1,3.4,2.8,8.9,11.6,3.0,0.9,1.3,23.0,91
