,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
59,Myles Turner,IND,81,31.4,5.5,10.7,0.51,0.5,1.4,0.345,3.0,3.7,0.809,1.3,3.2,1.7,5.6,7.3,1.3,0.9,2.1,14.5,84
62,Enes Kanter,OKC,72,21.3,5.6,10.2,0.545,0.1,0.5,0.132,3.1,4.0,0.7859999999999999,1.7,2.1,2.7,4.0,6.7,0.9,0.4,0.5,14.3,80
63,Zach Randolph,MEM,73,24.5,5.9,13.2,0.449,0.3,1.3,0.223,1.9,2.6,0.731,1.4,1.9,2.5,5.7,8.2,1.7,0.5,0.1,14.1,80
64,Rudy Gobert,UTA,81,33.9,5.1,7.7,0.6609999999999999,0.0,0.0,0.0,3.8,5.9,0.653,1.8,3.0,3.9,8.9,12.8,1.2,0.6,2.6,14.0,88
65,Al Horford,BOS,68,32.3,5.6,11.8,0.473,1.3,3.6,0.355,1.6,2.0,0.8,1.7,2.0,1.4,5.4,6.8,5.0,0.8,1.3,14.0,83
66,Marcus Morris,DET,79,32.5,5.3,12.7,0.418,1.5,4.5,0.331,1.8,2.3,0.784,1.1,2.1,1.0,3.7,4.6,2.0,0.7,0.3,14.0,77
67,Markieff Morris,WAS,76,31.2,5.3,11.7,0.457,0.9,2.6,0.36200000000000004,2.4,2.8,0.8370000000000001,1.7,3.3,1.4,5.1,6.5,1.7,1.1,0.6,14.0,78
68,Jae Crowder,BOS,72,32.5,4.6,10.0,0.46299999999999997,2.2,5.5,0.39799999999999996,2.4,3.0,0.8109999999999999,1.1,2.2,0.7,5.1,5.8,2.2,1.0,0.3,13.9,80
69,Kentavious Caldwell-Pope,DET,76,33.3,4.9,12.2,0.39899999999999997,2.0,5.8,0.35,2.0,2.4,0.8320000000000001,1.1,1.6,0.7,2.5,3.3,2.5,1.2,0.2,13.8,79
70,Bojan Bogdanovic,WAS,81,25.7,4.6,10.4,0.445,1.8,4.8,0.36700000000000005,2.7,3.0,0.893,1.6,1.8,0.5,3.0,3.4,1.4,0.4,0.1,13.7,77
71,Tyler Johnson,MIA,73,29.8,4.9,11.3,0.433,1.3,3.4,0.37200000000000005,2.7,3.5,0.768,1.2,2.4,0.7,3.3,4.0,3.2,1.2,0.6,13.7,77
72,Will Barton,DEN,60,28.4,4.9,11.1,0.44299999999999995,1.4,3.9,0.37,2.4,3.2,0.753,1.6,1.8,1.0,3.4,4.3,3.4,0.8,0.5,13.7,77
73,Andre Drummond,DET,81,29.7,6.0,11.2,0.53,0.0,0.1,0.28600000000000003,1.7,4.4,0.386,1.9,2.9,4.3,9.5,13.8,1.1,1.5,1.1,13.6,85
74,Ryan Anderson,HOU,72,29.4,4.5,10.7,0.418,2.8,7.0,0.40299999999999997,1.8,2.1,0.86,0.8,2.0,1.6,3.0,4.6,0.9,0.4,0.2,13.6,78
