,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Unnamed: 22,Rating
111,Bryn Forbes,SAS,6,12.1,1.0,3.5,0.28600000000000003,0.3,1.5,0.222,1.0,1.0,1.0,0.3,0.8,0.0,1.0,1.0,0.5,0.0,0.2,3.3,,71
112,Raymond Felton,LAC,7,18.1,2.1,4.6,0.469,0.6,1.3,0.444,0.7,0.7,1.0,0.4,1.4,0.3,1.1,1.4,1.4,0.9,0.0,5.6,,74
113,Cristiano Felicio,CHI,6,13.7,1.5,2.5,0.6,0.0,0.0,0.0,0.2,0.3,0.5,1.2,2.7,1.2,3.2,4.3,0.3,0.5,0.3,3.2,,73
114,Derrick Favors,UTA,11,20.4,3.3,5.6,0.581,0.0,0.0,0.0,1.0,2.1,0.478,0.4,2.3,1.4,4.1,5.5,0.9,0.7,0.5,7.5,,78
115,Dante Exum,UTA,7,12.0,1.6,3.9,0.40700000000000003,0.6,1.7,0.33299999999999996,0.9,0.9,1.0,0.4,1.4,0.3,0.6,0.9,1.3,0.7,0.0,4.6,,73
116,James Ennis,MEM,6,26.4,2.7,6.3,0.42100000000000004,1.0,3.2,0.316,2.0,2.3,0.857,1.2,3.3,1.3,2.8,4.2,1.2,0.8,0.3,8.3,,72
118,Kevin Durant,GSW,15,35.5,9.9,17.9,0.556,2.5,5.7,0.442,6.1,6.9,0.893,2.5,2.6,1.1,6.9,7.9,4.3,0.8,1.3,28.5,,96
120,DeMar DeRozan,TOR,10,37.3,7.6,17.5,0.434,0.1,1.5,0.067,7.1,8.0,0.887,2.5,2.6,0.4,4.5,4.9,3.4,1.4,0.0,22.4,,89
122,Dewayne Dedmon,SAS,12,8.0,1.2,1.9,0.609,0.0,0.0,0.0,1.4,2.7,0.531,0.7,1.3,1.8,2.2,3.9,0.2,0.2,0.2,3.8,,77
123,Troy Daniels,MEM,6,11.4,0.5,1.5,0.33299999999999996,0.5,1.5,0.33299999999999996,0.0,0.0,0.0,0.3,0.2,0.2,0.7,0.8,0.3,0.3,0.0,1.5,,72
