,Unnamed: 0,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
100,,101,Zach Collins,POR,16,17.2,2.6,5.1,0.506,0.4,1.3,0.33299999999999996,1.2,1.6,0.8,1.2,3.4,1.0,2.6,3.6,0.9,0.4,1.4,6.8,74
101,,102,Ersan Ilyasova,MIL,15,18.2,2.3,5.4,0.43200000000000005,0.8,2.7,0.3,1.3,1.7,0.8,0.4,2.7,1.3,3.4,4.7,1.4,0.7,0.4,6.8,76
102,,103,Jonathan Isaac,ORL,5,27.3,2.2,8.0,0.275,0.8,4.0,0.2,1.4,1.6,0.875,1.0,1.8,2.0,4.2,6.2,0.4,0.4,1.0,6.6,76
103,,104,Michael Carter-Williams,ORL,5,18.5,2.4,6.2,0.387,0.4,1.6,0.25,1.4,1.6,0.875,1.6,2.4,0.4,3.6,4.0,2.4,0.6,0.0,6.6,72
104,,105,DeMarre Carroll,BRK,5,23.9,1.8,7.6,0.237,1.4,4.8,0.292,1.6,1.6,1.0,0.6,1.6,1.2,2.8,4.0,0.4,0.8,0.0,6.6,77
105,,106,Torrey Craig,DEN,14,23.6,2.4,4.9,0.478,1.2,2.6,0.47200000000000003,0.6,1.1,0.562,0.4,2.7,1.5,3.6,5.1,0.9,0.5,0.4,6.6,74
106,,107,Norman Powell,TOR,23,15.9,2.4,5.5,0.444,1.0,2.7,0.387,0.6,0.8,0.737,0.5,1.3,0.2,2.0,2.2,1.1,0.4,0.0,6.5,74
107,,108,Terry Rozier,BOS,9,18.0,2.1,6.6,0.322,0.9,3.8,0.235,1.3,1.8,0.75,1.1,1.7,0.4,3.9,4.3,1.9,0.4,0.2,6.4,78
108,,109,Joe Ingles,UTA,5,30.1,2.4,7.4,0.324,1.6,5.8,0.276,0.0,0.0,0.0,1.6,2.8,0.6,4.2,4.8,5.0,2.2,0.0,6.4,79
109,,110,Rodions Kurucs,BRK,4,17.1,2.0,5.0,0.4,0.5,2.0,0.25,1.8,2.2,0.778,0.5,2.5,1.5,3.5,5.0,0.8,0.5,0.0,6.2,75
110,,111,Pat Connaughton,MIL,15,21.6,2.5,5.1,0.48100000000000004,1.0,2.8,0.35700000000000004,0.3,0.5,0.5,0.5,0.9,0.7,5.5,6.2,1.4,0.4,0.9,6.2,74
112,,113,Marco Belinelli,SAS,7,18.8,2.0,5.4,0.368,1.1,3.0,0.381,0.7,0.9,0.833,0.3,1.0,0.0,1.9,1.9,1.1,0.0,0.3,5.9,75
113,,114,Boban Marjanovic,PHI,11,9.5,2.2,3.6,0.6,0.0,0.3,0.0,1.5,1.7,0.8420000000000001,1.3,1.6,1.2,2.1,3.3,1.0,0.2,0.3,5.8,75
114,,115,Seth Curry,POR,16,20.4,1.9,5.1,0.366,1.3,3.2,0.40399999999999997,0.6,0.7,0.818,0.4,1.7,0.3,1.2,1.6,0.8,0.8,0.2,5.6,74
115,,116,Mike Scott,PHI,10,19.3,2.1,4.7,0.447,1.2,3.4,0.353,0.2,0.2,1.0,0.7,2.2,0.4,3.0,3.4,0.5,0.3,0.0,5.6,75
116,,117,Thon Maker,DET,4,17.1,1.8,6.5,0.26899999999999996,0.0,3.0,0.0,2.0,2.2,0.889,0.8,3.5,1.0,1.2,2.2,1.0,0.0,1.0,5.5,72
117,,118,Monte Morris,DEN,14,16.0,2.4,6.1,0.384,0.0,0.9,0.0,0.6,0.9,0.6920000000000001,0.4,1.1,0.2,1.1,1.4,2.6,0.4,0.1,5.4,77
119,,120,Khem Birch,ORL,5,18.3,2.0,3.6,0.556,0.0,0.0,0.0,1.2,1.4,0.857,1.2,1.6,1.8,4.4,6.2,0.8,0.2,1.0,5.2,74
120,,121,Terrance Ferguson,OKC,5,25.6,1.8,5.0,0.36,1.4,3.6,0.389,0.0,0.0,0.0,1.0,3.8,0.4,2.0,2.4,1.2,0.4,0.0,5.0,71
121,,122,Danuel House,HOU,7,20.1,1.6,5.3,0.297,1.1,4.4,0.258,0.6,1.1,0.5,0.6,1.6,0.3,2.9,3.1,0.1,0.4,0.3,4.9,73
122,,123,Nerlens Noel,OKC,5,12.1,2.4,4.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.8,2.2,1.6,3.8,0.0,0.4,0.6,4.8,77
123,,124,Mason Plumlee,DEN,14,15.6,1.7,3.4,0.511,0.0,0.1,0.0,1.1,2.0,0.5710000000000001,0.6,2.8,1.9,2.6,4.4,1.5,0.5,0.7,4.6,77
124,,125,Quinn Cook,GSW,17,11.4,1.6,4.1,0.4,0.6,2.0,0.324,0.2,0.2,1.0,0.4,0.8,0.1,0.9,1.1,0.7,0.2,0.1,4.2,74
125,,126,Sterling Brown,MIL,11,14.7,1.4,3.5,0.395,0.6,1.9,0.33299999999999996,0.7,1.0,0.727,0.7,1.5,0.4,2.4,2.7,1.7,0.5,0.3,4.1,73
129,,130,Gerald Green,HOU,11,8.8,1.1,3.6,0.3,0.9,2.6,0.345,0.5,0.5,1.0,0.3,1.1,0.0,1.1,1.1,0.1,0.3,0.3,3.5,76
130,,131,Davis Bertans,SAS,5,15.8,1.0,3.0,0.33299999999999996,0.6,2.2,0.273,0.6,1.0,0.6,0.2,2.0,0.0,1.6,1.6,1.0,0.0,0.2,3.2,76
131,,132,Alfonzo McKinnie,GSW,22,10.7,1.2,2.7,0.441,0.5,1.5,0.312,0.2,0.5,0.4,0.3,1.5,0.8,1.5,2.3,0.2,0.1,0.0,3.0,72
132,,133,Jared Dudley,BRK,4,20.6,0.8,2.8,0.273,0.5,2.2,0.222,1.0,1.0,1.0,1.0,2.5,0.0,0.5,0.5,2.8,0.8,0.2,3.0,72
134,,135,Jordan Bell,GSW,15,7.0,1.1,2.1,0.5479999999999999,0.0,0.0,0.0,0.5,0.7,0.7,0.1,0.9,0.5,0.8,1.3,0.7,0.3,0.5,2.7,74
135,,136,Evan Turner,POR,16,15.3,0.9,2.9,0.326,0.1,0.1,1.0,0.8,0.9,0.8,0.8,1.4,0.8,3.8,4.6,2.2,0.2,0.2,2.7,73
137,,138,Garrett Temple,LAC,6,10.5,0.5,1.8,0.273,0.2,1.2,0.14300000000000002,1.2,1.7,0.7,0.3,1.3,0.2,1.0,1.2,0.3,0.5,0.2,2.3,73
139,,140,Aron Baynes,BOS,9,12.8,0.9,1.6,0.5710000000000001,0.2,0.7,0.33299999999999996,0.1,0.2,0.5,0.6,2.2,0.7,2.1,2.8,0.3,0.3,0.3,2.1,75
140,,141,Jonah Bolden,PHI,10,7.9,0.5,1.9,0.263,0.4,1.6,0.25,0.2,0.4,0.5,0.9,1.2,0.4,1.0,1.4,0.3,0.2,0.1,1.6,73
142,,143,Treveon Graham,BRK,5,15.7,0.4,2.0,0.2,0.0,1.4,0.0,0.6,1.2,0.5,0.6,2.0,0.6,1.6,2.2,0.6,0.4,0.2,1.4,71
